,id,title,combined_features
0,25636,Jesus' Son,a young man turns from drug addiction and petty crime to a life redeemed by a discovery of compassion Comedy Drama Romance drugabuse magicmushroom darkcomedy independentfilm drug psychedelics heroinaddict womandirector BillyCrudup DenisLeary JackBlack DennisHopper HollyHunter SamanthaMorton MirandaJuly MichaelShannon MarkWebber AlisonMaclean
1,1930,The Amazing Spider-Man,"peter parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his uncle ben and aunt may. like most teenagers, peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to oscorp and the lab of dr. curt connors, his father's former partner. as spider-man is set on a collision course with connors' alter ego, the lizard, peter will make life-altering choices to use his powers and shape his destiny to become a hero. Action Adventure Fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger AndrewGarfield EmmaStone RhysIfans DenisLeary CampbellScott IrrfanKhan MartinSheen SallyField MaxCharles ChrisZylka EmbethDavidtz LeifGantvoort HannahMarks KelseyAsbille C.ThomasHowell StanLee MichaelMassee MichaelPapajohn KariColeman CharlieDePew SkylerGisondo JacobRodier JakeKeiffer KevinMcCorkle BarbaraEveHarris DanielleBurgio MichaelBarra AndyPessoa AndyGladbach RingHendricks-Tellefsen TomWaite KeithCampbell SteveDeCastro JamesChen AlexanderBedria JohnBurke JillFlint MarkDaugherty MiltonGonzález VincentLaresca DamienLemon TyUpshaw TiaTexada JayCaputo TerryBozeman JenniferLyons AmberStevens ZoeyDeutch JodyCosgrove-Kao MaxBogner EthanCohn MilesElliot MirandaLaDawnHill AmandaMacDonald MauryMorgan AmyNovondo KristinQuick MarcWebb"
2,82682,Gangster Squad,"los angeles, 1949. ruthless, brooklyn-born mob king mickey cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and — if he has his way — every wire bet placed west of chicago. and he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. it’s enough to intimidate even the bravest, street-hardened cop… except, perhaps, for the small, secret crew of lapd outsiders led by sgt. john o’mara and jerry wooters who come together to try to tear cohen’s world apart. Crime Drama Action Thriller losangeles gangster JoshBrolin RyanGosling NickNolte EmmaStone SeanPenn GiovanniRibisi JoshPence FrankGrillo AnthonyMackie RobertPatrick MichaelPeña MireilleEnos SullivanStapleton HoltMcCallany WadeWilliams JamesLandryHébert AmbyrChilders MickBetancourt MacBrandt BrandonMolale MichaelPapajohn JeffWolfe AnthonyMolinari AustinHighsmith NeilKoppel JackMcGee EvanJones JamesCarpinello TroyGarity AustinAbrams JohnAylward DennisCockrum JackConley YvetteTucker DerekMears JonnyCoyne EvaLaDare RielPaley JonPolito ChristopherDoyle RubenFleischer"
3,39513,Paul,"for the past 60 years, a space-traveling smart-ass named paul has been locked up in a top-secret military base, advising world leaders about his kind. but when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, paul escapes on the first rv that passes by his compound in area 51. fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run. Adventure Comedy ScienceFiction sandiego area51 alienspacecraft hitwithachair shotintheknee duringcreditsstinger 1980s SethRogen SimonPegg NickFrost JasonBateman KristenWiig BillHader BlytheDanner JoeLoTruglio JohnCarrollLynch JaneLynch DavidKoechner JessePlemons SigourneyWeaver JeffreyTambor StevenSpielberg JenniferGranger MiaStallard GregMottola"
4,67675,Glee: The Concert Movie,"a concert documentary shot during the glee live! in concert! summer 2011 tour, featuring song performances and glee fans' life stories and how the show influenced them. Documentary Music Family concert liveperformance duringcreditsstinger DiannaAgron LeaMichele GwynethPaltrow DarrenCriss ChrisColfer JaneLynch CoryMonteith HeatherMorris KevinMcHale ChordOverstreet MarkSalling NayaRivera HarryShumJr. AmberRiley JennaUshkowitz AshleyFink RikerLynch CurtMega TitusMakinJr. KevinTancharoen"
5,10139,Milk,"the story of california's first openly gay elected official, harvey milk, who became an outspoken agent for change, seeking equal rights and opportunities for all. his great love for the city and its people brought him backing from young and old, straight and gay, alike – at a time when prejudice and violence against gays was openly accepted as the norm. History Drama gay sanfrancisco homophobia mayor biography politics politician electioncampaign homosexuality morality election candlelightvigil mayoralcampaign SeanPenn EmileHirsch JamesFranco JoshBrolin DiegoLuna AlisonPill VictorGarber DenisO'Hare JosephCross StephenSpinella BoydHolbrook LucasGrabeel DaveFranco GusVanSant"
6,33644,How Stella Got Her Groove Back,"through good times and bad, stella and delilah have always had each other. now, stella's so busy building a life that she's forgotten how to really live. but delilah is about to change all that. what starts as a quick trip to jamaica, end as an exhilarating voyage of self discovery as stella learns to open her heart and find love - even if it's with a man 20 years her junior. Comedy Drama Romance blackpeople agedifference jamaica vacation femaleprotagonist AngelaBassett TayeDiggs WhoopiGoldberg ReginaKing SuzzanneDouglas MichaelJ.Pagan SicilyJohnson RichardLawson BarryShabakaHenley LeeWeaver GlynnTurman PhyllisYvonneStickney DeniseHunt LisaHanna JamesPickensJr. PhilipCasnoff LouMyers D'ArmyBailey ArtMetrano CarlLumbly PhinaOruche TennyMiller AndrewPalmer HaroldDawkins KennethBuckford SimonStreet CraigBlake ElisabethGranli SteveDanton EllyMcGuire SelmaMcPherson FernWard DannyGlover LucindaChrisman JanCitron LeroyEdwardsIII VictorGarber DavidC.Waite KevinRodneySullivan"
7,9434,Grosse Pointe Blank,"martin blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. on the advice of his secretary and his psychiatrist, he attends his 10th year high school reunion in grosse pointe, michigan. Action Comedy Thriller Romance missionofmurder schoolparty highschoolreunion JohnCusack MinnieDriver DanAykroyd JoanCusack AlanArkin HankAzaria JeremyPiven MitchellRyan DavidBarrett MichaelCudlitz StevePink K.ToddFreeman DougDearth AnnCusack BarbaraHarris JennaElfman BelitaMoreno BillCusack GeorgeArmitage"
8,42618,Sweet Charity,"taxi dancer charity continues to have faith in the human race despite apparently endless disappointments at its hands, and hope that she will finally meet the nice young man to romance her away from her sleazy life. maybe, just maybe, handsome oscar will be the one to do it. Comedy Drama Music Romance brokenengagement charity celebrity tragiclove dancehallgirl basedonstagemusical basedonfilm ShirleyMacLaine JohnMcMartin RicardoMontalban SammyDavis,Jr. ChitaRivera PaulaKelly StubbyKaye BarbaraBouchet SuzanneCharney AlanHewitt DanteDiPaolo BobFosse"
9,332411,I Am Wrath,a man is out for justice after a group of corrupt police officers are unable to catch his wife's killer. Action Crime Drama Thriller revenge murder policecorruption violence corruptpolitician barber governer JohnTravolta ChristopherMeloni RebeccaDeMornay AmandaSchull PatrickSt.Esprit SamTrammell LuisDaSilvaJr. LlysaRieLesaka DorisMorgado MelissaBolona PaulSloan DavidHutchison ChuckRussell
10,12312,Joe Somebody,"when underappreciated video specialist joe scheffer is brutally humiliated by the office bully mark mckinney in front of his daughter, joe begins a quest for personal redemption. he proceeds by enduring a personal make-over and takes martial arts lessons from a b-action star. as news spreads of his rematch with mark, joe suddenly finds himself the center of attention, ascending the corporate ladder and growing in popularity. he's determined to show everyone in his life that he is not a nobody, but a force to be reckoned with. Comedy profession karate daughter beförderung ex-wife parking slap TimAllen JulieBowen KellyLynch GregGermann JimBelushi HaydenPanettiere PatrickWarburton KenMarino WolfgangBodison CristiConaway RobertJoy TinaLifford JamesCada TawnjaZahradka AhnaBrandvik JohnPasquin"
11,38357,Morning Glory,"a young and devoted morning television producer is hired as an executive producer on a long-running morning show at a once-prominent but currently failing station in new york city. eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories. Comedy Drama Romance workethic tvmorningshow tvreporter RachelMcAdams HarrisonFord PatrickWilson JeffGoldblum DianeKeaton 50Cent ArdenMyrin NoahBean VanessaAspillaga JeffHiller LindaPowell MikeHydeck JosephJ.Vargas DavidFonteno PattiD'Arbanville TyBurrell RogerMichell"
12,41317,Caravans,"this epic adventure-drama based on james michener's best-selling novel concerns a young american embassy official who is sent into the middle-eastern desert to find the missing daughter of a us senator. the young woman has left her husband, a colonel in the shadom - she was his number two wife - and has opted for the lifestyle of a nomadic tribe. when the diplomat locates the girl he joins the caravan and attempts to persuade the girl to return. Action Adventure Drama Romance AnthonyQuinn JenniferO'Neill MichaelSarrazin ChristopherLee JosephCotten BarrySullivan BehrouzVossoughi JeremyKemp DuncanQuinn JamesFargo"
13,24424,Ajami,"ajami is an area of tel aviv in israel where arabs, palestinians, jews and christians live together in a tense atmosphere. omar, an israeli arab, struggles to save his family from a gang of extortionists. he also courts a beautiful christian girl: hadir. malek, an illegal palestinian worker, tries to collect enough money to pay for his mother's operation. dando, an israeli cop, does his utmost to find his missing brother who may have been killed by palestinians. Crime Drama FouadHabash NisrineRihan EliasSaba YoussefSahwani AbuGeorgeShibli IbrahimFrege ScandarCopti ShahirKabaha HilalKabob RaninKarim EranNaim SigalHarel TamarYerushalmi MosheYerushalmi ScandarCopti YaronShani"
14,58882,Snow Flower and the Secret Fan,a story set in 19th century china and centered on the lifelong friendship between two girls who develop their own secret code as a way to contend with the rigid cultural norms imposed on women. Drama History fan duringcreditsstinger LiBingbing JunJi-hyun HughJackman VivianWu JiangWu RussellWong CocoChiangYi FangZhoubo HuQing-Yun CaoShi-Ping ZhangRuijia SunFeihu LuZhong LuYi-Ching ArchieKao DingXiao-Hui ZhangLi-Qiu ShenDan-Ping WayneWang
15,18360,Night at the Museum: Battle of the Smithsonian,"hapless museum night watchman larry daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the smithsonian institution. larry's (mis)adventures this time include close encounters with amelia earhart, abe lincoln and ivan the terrible. Adventure Fantasy Action Comedy Family museum theodoreroosevelt duringcreditsstinger ameliaearhart smithsonian BenStiller AmyAdams OwenWilson HankAzaria RobinWilliams ChristopherGuest SteveCoogan RickyGervais BillHader JonBernthal KaiJames MizuoPeck RamiMalek CrystaltheMonkey MindyKaling JakeCherry AlainChabat PatrickGallagher JoeJonas KevinJonas NickJonas JoeJonas KevinJonas NickJonas JayBaruchel KeithPowell CraigRobinson ClintHoward MattyFinochio CarollSpinney ThomasMorley EugeneLevy JoeJonas KevinJonas NickJonas GeorgeForeman ShawnLevy AlbertaMayne EdHelms JonahHill BenGarant ThomasLennon ShawnLevy"
